Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Iceland,ISL,-0.16945669694564544,0.10194880087303333,-1.4166568386810294,-0.15408030727593486,-0.2532512316152522,-0.08149818698043494,-1.6642611171175792,0.08965042941634876
Israel,ISR,3.141291201328751,2.1907853678250713,0.44760677731924303,3.0113447798367723,1.0962403570764778,5.137384939438979,-4.525390801797025,17.08217404533701
Italy,ITA,1.809404212342825,4.319368587497455,0.2839834170454604,1.666120210706675,-2.3939339942739575,5.747578723376762,-17.06300877945651,27.873667230315537
Jamaica,JAM,0.13168624875550794,0.08747028128848212,0.5808351827337271,0.1241581322352378,0.051303944773274594,0.2104385547537093,-0.14627408113794804,0.6865395783588004
Jordan,JOR,1.0742897662003292,0.8450155475402373,0.41450641926739035,1.030820886764881,0.279376751026197,1.8462766883853468,-1.8536173593736134,6.302382366159191
Japan,JPN,4.752972841558624,8.112850704811459,0.3351711948171214,4.398723927005598,-3.174767530134303,12.169067386051962,-27.291501593944673,53.602830331654005
Kazakhstan,KAZ,-1.941698999891024,1.4731806633242601,-0.6421431793321997,-1.8381862964156972,-3.2499347028932237,-0.5910095091640308,-15.827192021860007,3.2893565717823767
Kenya,KEN,3.4981300589553337,2.4137844940585604,0.5579127157002561,3.3101947977918442,1.2835430112536799,5.665345934741531,-4.7158410821587635,18.62622810591233
Kyrgyzstan,KGZ,-0.20068720988018135,0.1853593189026316,-0.5340932202475497,-0.19062937791922024,-0.3640778414476772,-0.029115388653863903,-1.8865896169215468,0.5834027339852772
Cambodia,KHM,1.5498622978963792,0.8539575480722441,0.4541016988481139,1.4814385201392333,0.7731959035768238,2.3319468962755736,-1.2794481095650034,6.480669306495096
South Korea,KOR,-1.2150081064680585,4.683080134398109,0.00042823605782290507,-1.1926004736516114,-5.607590058161404,3.1664477207484305,-27.3654149000792,22.862000178198414
Kuwait,KWT,3.110640536752273,1.6860738216534892,0.29349479468024675,3.022898462788023,1.5612997199614358,4.669343941496041,-2.8703303105944147,12.014699571430786
Laos,LAO,0.7075502175101566,0.4229468826267043,0.5012004399300108,0.6734848510277228,0.3222668613836498,1.0900425071393613,-0.6888538171951711,3.2573283121763916
Lebanon,LBN,0.16758458978914623,0.28544798269220983,0.36570919219873865,0.15497710962577732,-0.10997750910830309,0.4252807212640503,-0.9927076123368697,2.054289775362131
Liberia,LBR,0.6669922453438275,0.39399529016335794,0.5863454009621301,0.6265086394837205,0.3098340350753334,1.0254318249282757,-0.6996465788629977,3.0138718092770294
Libya,LBY,1.4548577001644116,0.9634225531923081,0.4515117066710072,1.3911766887148018,0.5598177504601287,2.333284958657756,-1.832038595688616,7.455149898649715
