Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Qatar,QAT,-4.165049e-06,3.1895887078448723e-06,-0.3768835331859953,-4.2e-06,-7.080000000000001e-06,-2.5e-07,-1.12e-05,4.7e-07
Romania,ROU,0.005693116844454279,0.009733746059073132,-0.8132131104289897,0.006784557817111611,-0.0019063534247957049,0.0139211111733222,-0.035998213421268466,0.030785755911474227
Russia,RUS,0.16766895748780372,0.15175666908358942,0.0036904962766606923,0.16364903417351723,0.018354779977893823,0.31949301099472505,-0.25351090541095733,0.5932690913414002
Rwanda,RWA,0.0002141323847561898,0.00089693250255943,0.47585874888922225,0.00013204497579019517,-0.00054025,0.0009457318215808242,-0.003694623699210286,0.004211802648094893
Saudi Arabia,SAU,-6.0513262999999994e-05,0.0005548137832142306,0.02630128500679614,-0.00011856,-0.00043606,0.0005873300000000001,-0.0016314200000000002,0.0011092
Sudan,SDN,-0.011052791114815769,0.00394391112399781,-0.788813507996876,-0.011084389131387005,-0.015297418367511818,-0.007085204916317677,-0.039826873501615526,0.002559705963147879
Senegal,SEN,-0.000847908664,0.0011072420110518112,-1.187392608086206,-0.00084888,-0.00154655,0.00041232000000000004,-0.004571830000000001,0.00099718
Solomon Islands,SLB,-0.0005989518364829956,0.0007369626394933775,-0.6472777434066452,-0.00039373,-0.0014334723854517936,2.9489093705655396e-05,-0.005060225371493102,0.000906864914214015
Sierra Leone,SLE,0.0014349477321034683,0.00318721724935673,-0.27214631167772163,0.0014030687652003765,-0.0012020861061674537,0.004251382204603625,-0.012601864771595,0.011297060853466987
El Salvador,SLV,0.0014951869589300447,0.002675774097785352,-1.1663714990149778,0.0012264035520283879,-0.00012119781673761069,0.0031648074553716184,-0.019118267135853767,0.01520851295690775
Somaliland,SOM,-0.0032072265150000006,0.001968044589237578,0.7801919008615388,-0.00378492,-0.00494174,5.844e-05,-0.006008060000000001,9.667000000000001e-05
Republic of Serbia,SRB,0.0038856424578432034,0.0052570591481692994,-0.8324423614478423,0.0038592574251594394,0.0005212544422301249,0.007936787245297205,-0.03004968607362747,0.02803180394478321
